
('swiss', 'JJ')
('experience', 'NN')
('nyc', 'JJ')
('great', 'JJ')
('stay', 'NN')
('nyc', 'JJ')
('thanks', 'NNS')
('blue', 'VB')
('moon', 'JJ')
('hotel', 'NN')
('with', 'IN')
('its', 'PRP$')
('very', 'RB')
('friendly', 'JJ')
('staff', 'NN')
('fine', 'NN')
('rooms', 'NNS')
('very', 'RB')
('quiet', 'JJ')
('excellent', 'JJ')
('location', 'NN')
('downtown', 'NN')
('highly', 'RB')
('recommandable', 'JJ')
